Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,yearID,teamID
BAL,83,78,33,399,161,1427.1,5.00,3.58,1.01,.285,70.8%,,,,4.38,,4.27,,10.9,1985,
HOU,83,79,42,444,162,1458.0,5.61,3.35,0.73,.278,70.8%,,,,3.67,,3.67,,9.5,1985,
MIL,71,90,37,409,161,1437.0,4.87,3.13,1.10,.282,69.0%,,,,4.40,,4.30,,7.8,1985,
CLE,60,102,28,468,162,1421.0,4.45,3.46,1.08,.289,67.3%,,,,4.92,,4.50,,7.3,1985,
OAK,77,85,41,461,162,1453.0,4.86,3.76,1.07,.270,70.4%,,,,4.41,,4.45,,7.2,1985,
ATL,66,96,29,513,162,1457.1,4.79,3.96,0.83,.287,70.2%,,,,4.21,,4.19,,6.0,1985,
CAL,92,70,40,408,162,1456.0,5.90,2.95,0.95,.270,71.5%,,,,3.84,,3.87,,20.8,1986,
NYM,108,54,46,414,162,1484.0,6.57,3.09,0.62,.271,74.5%,,,,3.11,,3.31,,20.8,1986,
KCR,76,86,31,392,162,1440.1,5.55,2.99,0.76,.283,71.4%,,,,3.82,,3.71,,19.8,1986,
TOR,86,76,44,453,163,1476.0,6.11,2.97,1.00,.285,71.5%,,,,4.08,,3.94,,19.3,1986,
BOS,95,66,41,415,161,1429.2,6.50,2.98,1.05,.296,73.4%,,,,3.93,,3.89,,18.7,1986,
HOU,96,66,51,461,162,1456.1,7.17,3.23,0.72,.260,74.4%,,,,3.15,,3.34,,17.8,1986,
LAD,73,89,25,442,162,1454.1,6.50,3.09,0.71,.291,71.1%,,,,3.76,,3.44,,17.5,1986,
MIL,77,84,32,398,161,1431.2,5.98,3.11,0.99,.292,71.2%,,,,4.04,,3.97,,17.1,1986,
ATL,72,89,39,470,161,1424.2,5.89,3.64,0.74,.296,70.5%,,,,3.99,,3.80,,16.2,1986,
MON,78,83,50,487,161,1466.1,6.45,3.47,0.73,.277,70.7%,,,,3.79,,3.62,,15.7,1986,
CHW,72,90,38,459,162,1442.1,5.58,3.50,0.89,.272,71.6%,,,,3.94,,4.05,,15.5,1986,
CHC,70,90,42,506,160,1445.0,5.99,3.47,0.89,.307,69.8%,,,,4.51,,3.92,,15.3,1986,
SEA,67,95,27,443,162,1439.2,5.90,3.66,1.07,.309,70.0%,,,,4.67,,4.32,,15.3,1986,
CIN,86,76,45,475,162,1468.0,5.66,3.21,0.83,.286,71.0%,,,,3.92,,3.82,,15.2,1986,
BAL,73,89,39,424,162,1436.2,5.98,3.35,1.11,.285,70.9%,,,,4.31,,4.21,,14.5,1986,
SFG,83,79,35,508,162,1460.1,6.11,3.64,0.75,.262,73.8%,,,,3.36,,3.76,,13.5,1986,
NYY,90,72,58,451,162,1443.1,5.47,3.07,1.09,.279,71.5%,,,,4.11,,4.20,,13.0,1986,
TEX,87,75,41,490,162,1450.1,6.57,4.57,0.90,.280,72.0%,,,,4.11,,4.22,,12.7,1986,
PHI,86,75,39,482,161,1451.2,5.42,3.43,0.81,.288,71.5%,,,,3.87,,3.92,,11.1,1986,
DET,87,75,38,401,162,1443.2,5.49,3.56,1.14,.265,73.4%,,,,4.02,,4.45,,10.3,1986,
PIT,64,98,30,518,162,1450.2,5.73,3.54,0.86,.278,72.0%,,,,3.90,,3.99,,10.1,1986,
MIN,71,91,24,402,162,1432.2,5.89,3.16,1.26,.301,69.8%,,,,4.79,,4.43,,9.9,1986,
STL,79,82,46,448,161,1466.1,4.67,2.98,0.83,.264,74.9%,,,,3.38,,3.97,,8.8,1986,
OAK,76,86,37,448,162,1433.0,5.88,4.19,1.04,.265,70.7%,,,,4.31,,4.44,,8.1,1986,
SDP,74,88,32,512,162,1443.1,5.82,3.78,0.94,.279,72.0%,,,,4.00,,4.15,,7.6,1986,
CLE,84,78,34,453,163,1447.2,4.63,3.76,1.04,.284,69.3%,,,,4.63,,4.61,,7.2,1986,
TOR,96,66,43,498,162,1454.0,6.59,3.51,0.98,.271,74.3%,,,,3.74,,4.04,,21.1,1987,
KCR,83,79,26,387,162,1424.0,5.83,3.46,0.81,.289,72.0%,,,,3.87,,3.97,,20.9,1987,
MIL,91,71,45,444,162,1464.0,6.39,3.25,1.04,.301,68.9%,,,,4.62,,4.09,,19.9,1987,
MON,91,71,50,497,162,1450.1,6.28,2.77,0.90,.284,69.5%,,,,3.92,,3.75,,18.7,1987,
HOU,76,86,33,478,162,1441.1,7.10,3.28,0.88,.285,72.0%,,,,3.85,,3.71,,18.3,1987,
DET,98,64,31,409,162,1456.0,6.03,3.48,1.11,.277,72.8%,,,,4.02,,4.37,,18.3,1987,
SEA,78,84,33,413,162,1430.2,5.78,3.13,1.25,.288,70.1%,,,,4.52,,4.50,,18.2,1987,
LAD,73,89,32,442,162,1455.0,6.79,3.49,0.80,.291,73.0%,,,,3.72,,3.75,,18.0,1987,
NYM,92,70,51,470,162,1454.0,6.39,3.16,0.84,.284,71.1%,,,,3.84,,3.78,,17.4,1987,
OAK,81,81,40,490,162,1445.2,6.49,3.31,1.10,.284,69.2%,,,,4.40,,4.19,,16.2,1987,
SFG,90,72,38,510,162,1471.0,6.35,3.35,0.89,.284,73.8%,,,,3.70,,3.92,,16.0,1987,
BOS,78,84,16,397,162,1436.0,6.48,3.24,1.19,.310,70.0%,,,,4.78,,4.30,,15.9,1987,
CHC,76,85,48,488,161,1434.2,6.42,3.94,1.00,.305,70.4%,,,,4.56,,4.25,,14.8,1987,
CIN,84,78,44,554,162,1452.1,5.69,3.01,1.05,.287,70.7%,,,,4.24,,4.17,,14.7,1987,
NYY,89,73,47,440,162,1446.1,5.60,3.37,1.11,.283,71.8%,,,,4.39,,4.43,,14.6,1987,
STL,95,67,48,524,162,1466.0,5.36,3.27,0.79,.289,72.5%,,,,3.94,,3.97,,14.3,1987,
CAL,75,87,36,406,162,1457.1,5.81,3.11,1.31,.280,70.6%,,,,4.38,,4.57,,13.5,1987,
PIT,80,82,39,475,162,1445.0,5.69,3.50,1.02,.271,70.3%,,,,4.20,,4.29,,12.8,1987,
MIN,85,77,39,451,162,1427.1,6.24,3.56,1.32,.286,71.3%,,,,4.67,,4.69,,11.5,1987,
ATL,69,92,32,485,161,1427.2,5.28,3.70,1.03,.294,68.8%,,,,4.63,,4.50,,9.8,1987,
CHW,77,85,37,432,162,1447.2,4.92,3.34,1.17,.269,72.4%,,,,4.30,,4.66,,9.3,1987,
TEX,75,87,27,490,162,1444.1,6.87,4.74,1.24,.278,70.4%,,,,4.63,,4.83,,9.2,1987,
PHI,80,82,48,551,162,1448.1,5.45,3.65,1.04,.280,72.0%,,,,4.18,,4.45,,8.5,1987,
SDP,65,97,33,497,162,1433.1,5.63,3.78,1.10,.273,71.1%,,,,4.28,,4.54,,8.3,1987,
BAL,67,95,30,456,162,1439.2,5.44,3.42,1.41,.288,68.9%,,,,5.01,,4.90,,8.0,1987,
CLE,61,101,25,470,162,1422.2,5.37,3.83,1.39,.288,66.0%,,,,5.28,,5.06,,4.3,1987,
NYM,100,60,46,401,160,1439.0,6.88,2.53,0.49,.276,73.3%,,,,2.91,,2.86,,25.6,1988,
LAD,94,67,49,457,162,1463.1,6.33,2.91,0.52,.272,74.4%,,,,2.96,,3.12,,19.7,1988,
KCR,84,77,32,414,161,1428.1,5.58,2.93,0.64,.288,71.5%,,,,3.65,,3.50,,19.3,1988,
CLE,78,84,46,392,162,1434.0,5.10,2.77,0.75,.292,68.9%,,,,4.19,,3.73,,18.9,1988,
BOS,89,73,37,412,162,1426.1,6.85,3.11,0.90,.294,72.0%,,,,3.98,,3.67,,18.7,1988,
MIL,87,75,51,414,162,1449.2,5.17,2.71,0.78,.267,73.0%,,,,3.45,,3.69,,17.9,1988,
OAK,104,58,64,452,162,1489.2,5.94,3.34,0.70,.275,74.5%,,,,3.44,,3.63,,17.6,1988,
SEA,68,93,28,453,161,1428.1,6.18,3.52,0.91,.284,69.5%,,,,4.19,,3.95,,17.1,1988,
SFG,83,79,42,452,162,1462.1,5.39,2.60,0.61,.265,70.2%,,,,3.40,,3.38,,16.3,1988,
SDP,83,78,39,399,161,1449.0,5.50,2.73,0.70,.270,73.9%,,,,3.28,,3.50,,16.0,1988,
MIN,91,71,52,427,162,1431.2,5.64,2.85,0.92,.290,73.2%,,,,3.94,,3.88,,15.7,1988,
STL,76,86,42,495,162,1470.2,5.39,2.97,0.56,.277,71.3%,,,,3.47,,3.40,,15.4,1988,
CHC,77,85,29,453,163,1465.0,5.51,3.01,0.71,.291,71.3%,,,,3.88,,3.63,,14.4,1988,
DET,88,74,36,382,162,1445.2,5.54,3.09,0.93,.267,73.3%,,,,3.72,,3.98,,14.4,1988,
CIN,87,74,43,504,161,1455.0,5.78,3.12,0.75,.260,73.9%,,,,3.35,,3.66,,13.8,1988,
CAL,75,87,33,424,162,1456.0,5.05,3.51,0.83,.289,69.8%,,,,4.31,,4.11,,13.1,1988,
PIT,85,75,46,473,160,1440.2,4.94,2.93,0.67,.268,72.6%,,,,3.47,,3.69,,11.7,1988,
MON,81,81,43,470,163,1482.2,5.60,2.89,0.74,.260,74.5%,,,,3.10,,3.63,,11.7,1988,
HOU,82,80,40,446,162,1474.2,6.40,2.92,0.75,.270,72.7%,,,,3.41,,3.48,,11.2,1988,
ATL,54,106,25,478,160,1446.0,5.04,3.26,0.67,.288,68.9%,,,,4.10,,3.80,,11.0,1988,
TEX,70,91,31,412,161,1438.2,5.71,4.09,0.81,.267,69.9%,,,,4.07,,4.15,,10.9,1988,
NYY,85,76,43,465,161,1456.0,5.32,3.01,0.97,.286,71.1%,,,,4.27,,4.09,,10.9,1988,
TOR,87,75,47,456,162,1449.0,5.61,3.28,0.89,.278,73.2%,,,,3.80,,4.02,,10.8,1988,
CHW,71,90,43,454,161,1440.0,4.71,3.33,0.86,.280,69.4%,,,,4.13,,4.15,,7.9,1988,
BAL,54,107,26,448,161,1416.0,4.51,3.32,0.97,.287,69.1%,,,,4.55,,4.37,,6.3,1988,
PHI,65,96,36,498,162,1433.0,5.39,3.94,0.74,.287,70.8%,,,,4.16,,4.03,,5.0,1988,
KCR,92,70,38,426,162,1451.2,6.06,2.82,0.53,.293,71.0%,,,,3.55,,3.18,,23.6,1989,
TOR,89,73,38,439,162,1466.2,5.21,2.93,0.61,.279,71.4%,,,,3.59,,3.55,,22.2,1989,
CAL,91,71,38,413,162,1454.1,5.55,2.88,0.70,.278,75.6%,,,,3.28,,3.56,,20.1,1989,
LAD,77,83,36,445,160,1463.1,6.47,3.10,0.58,.272,76.0%,,,,2.95,,3.26,,19.6,1989,
ATL,63,97,33,501,161,1447.2,6.01,2.91,0.71,.278,69.3%,,,,3.71,,3.45,,19.0,1989,
CLE,73,89,38,449,162,1453.0,5.23,2.80,0.66,.280,71.2%,,,,3.65,,3.54,,18.8,1989,
TEX,83,79,44,483,162,1434.1,6.98,4.10,0.75,.274,69.8%,,,,3.92,,3.76,,17.0,1989,
NYM,87,75,38,436,162,1454.1,6.86,3.29,0.71,.265,73.8%,,,,3.30,,3.42,,16.7,1989,
SEA,73,89,44,492,162,1438.0,5.61,3.50,0.71,.286,69.5%,,,,4.01,,3.80,,16.7,1989,
OAK,99,63,57,479,162,1448.1,5.78,3.17,0.64,.266,74.3%,,,,3.13,,3.52,,16.5,1989,
STL,86,76,43,521,164,1461.0,5.20,2.97,0.52,.268,71.6%,,,,3.37,,3.41,,16.4,1989,
BOS,83,79,42,459,162,1460.1,6.50,3.38,0.81,.294,70.1%,,,,4.01,,3.68,,16.2,1989,
CHC,93,69,55,500,162,1460.1,5.66,3.28,0.65,.276,73.3%,,,,3.43,,3.59,,16.1,1989,
CIN,75,87,37,501,162,1464.1,6.03,3.44,0.77,.280,71.7%,,,,3.74,,3.75,,15.9,1989,
MON,81,81,35,449,162,1468.1,6.49,3.18,0.74,.277,73.2%,,,,3.48,,3.51,,15.3,1989,
SDP,89,73,52,407,162,1457.1,5.76,2.97,0.82,.271,73.7%,,,,3.38,,3.70,,15.0,1989,
MIL,81,81,45,453,162,1432.1,5.10,2.87,0.81,.285,71.8%,,,,3.80,,3.82,,12.7,1989,
HOU,86,76,38,508,162,1479.1,5.87,3.35,0.64,.274,71.1%,,,,3.66,,3.55,,10.8,1989,
MIN,80,82,38,459,162,1429.1,5.36,3.15,0.88,.291,70.4%,,,,4.28,,3.97,,10.7,1989,
SFG,92,70,47,480,162,1457.0,4.95,2.91,0.74,.260,73.8%,,,,3.30,,3.75,,10.1,1989,
BAL,87,75,44,474,162,1448.1,4.20,3.02,0.83,.284,72.9%,,,,4.00,,4.09,,9.5,1989,
PIT,74,88,40,489,164,1487.2,5.00,3.26,0.73,.266,71.5%,,,,3.65,,3.85,,9.3,1989,
NYY,74,87,44,439,161,1414.2,5.01,3.31,0.95,.300,69.3%,,,,4.54,,4.21,,7.5,1989,
PHI,67,95,33,511,163,1433.1,5.64,3.85,0.80,.283,70.3%,,,,4.07,,4.01,,7.3,1989,
DET,59,103,26,414,162,1427.1,5.24,4.11,0.95,.293,69.7%,,,,4.54,,4.43,,4.9,1989,
CHW,69,92,46,482,161,1422.0,4.92,3.41,0.91,.284,70.3%,,,,4.25,,4.20,,4.1,1989,
NYM,91,71,41,430,162,1440.0,7.61,2.78,0.74,.290,72.8%,,,,3.43,,3.17,,24.4,1990,
BOS,88,74,44,485,162,1442.0,6.22,3.24,0.57,.298,71.4%,,,,3.72,,3.43,,23.6,1990,
CIN,91,71,50,478,162,1456.1,6.36,3.36,0.77,.276,75.7%,,,,3.40,,3.69,,21.2,1990,
CAL,80,82,42,431,162,1454.0,5.84,3.37,0.66,.300,70.9%,,,,3.81,,3.66,,20.2,1990,
SEA,77,85,41,473,162,1443.1,6.63,3.78,0.75,.277,71.5%,,,,3.72,,3.76,,19.5,1990,
STL,70,92,39,526,162,1443.1,5.19,2.96,0.61,.284,68.9%,,,,3.88,,3.59,,17.5,1990,
TOR,86,76,48,479,162,1454.0,5.52,2.75,0.89,.282,73.1%,,,,3.84,,3.85,,17.4,1990,
CHW,94,68,68,529,162,1449.1,5.68,3.40,0.66,.270,72.3%,,,,3.61,,3.71,,16.4,1990,
TEX,83,79,36,464,162,1444.2,6.21,3.88,0.70,.279,71.0%,,,,3.83,,3.83,,16.3,1990,
MON,85,77,50,503,162,1473.1,6.05,3.12,0.78,.271,75.6%,,,,3.37,,3.70,,14.5,1990,
OAK,103,59,64,465,162,1456.0,5.14,3.05,0.76,.256,75.7%,,,,3.18,,3.84,,14.5,1990,
SDP,75,87,35,450,162,1461.2,5.71,3.12,0.91,.280,73.4%,,,,3.68,,3.93,,14.4,1990,
MIN,74,88,43,472,162,1435.2,5.47,3.07,0.84,.298,70.5%,,,,4.14,,3.89,,14.4,1990,
LAD,86,76,29,501,162,1442.0,6.37,2.98,0.86,.278,70.6%,,,,3.74,,3.68,,14.1,1990,
KCR,75,86,33,473,161,1420.2,6.37,3.55,0.73,.299,71.1%,,,,3.93,,3.73,,13.9,1990,
PIT,95,67,43,526,162,1447.0,5.27,2.57,0.84,.270,73.5%,,,,3.40,,3.77,,13.8,1990,
MIL,74,88,42,502,162,1445.0,4.80,2.92,0.75,.294,68.8%,,,,4.11,,3.88,,13.6,1990,
CHC,77,85,42,508,162,1442.2,5.47,3.57,0.75,.294,68.8%,,,,4.34,,3.93,,13.1,1990,
ATL,65,97,30,508,162,1429.2,5.90,3.64,0.81,.302,67.1%,,,,4.58,,3.93,,13.0,1990,
NYY,67,95,41,504,162,1444.2,5.66,3.85,0.90,.284,70.8%,,,,4.23,,4.18,,10.7,1990,
HOU,75,87,37,510,162,1450.0,5.30,3.08,0.81,.274,72.9%,,,,3.62,,3.90,,8.5,1990,
CLE,77,85,47,463,162,1427.1,5.42,3.27,1.03,.289,72.1%,,,,4.27,,4.26,,8.1,1990,
SFG,85,77,45,497,162,1446.1,4.90,3.44,0.82,.284,71.8%,,,,4.08,,4.09,,7.8,1990,
PHI,77,85,35,536,162,1449.0,5.22,4.04,0.77,.272,70.6%,,,,4.09,,4.17,,7.8,1990,
BAL,76,85,43,518,161,1435.1,4.87,3.37,1.01,.276,73.3%,,,,4.07,,4.34,,7.4,1990,
DET,79,83,45,462,162,1430.1,5.39,4.16,0.97,.276,71.5%,,,,4.39,,4.49,,6.4,1990,
TOR,91,71,60,509,162,1462.2,5.97,3.22,0.74,.264,73.3%,,,,3.50,,3.76,,22.7,1991,
NYM,77,84,39,475,161,1437.1,6.44,2.57,0.68,.290,70.7%,,,,3.56,,3.31,,21.5,1991,
CLE,57,105,33,451,162,1441.1,5.38,2.75,0.69,.302,67.8%,,,,4.24,,3.65,,20.9,1991,
LAD,93,69,40,529,162,1458.0,6.35,3.09,0.59,.274,74.8%,,,,3.07,,3.39,,19.8,1991,
KCR,82,80,41,457,162,1466.0,6.16,3.25,0.64,.296,69.7%,,,,3.92,,3.59,,19.5,1991,
CAL,81,81,50,472,162,1441.2,6.18,3.39,0.88,.278,74.0%,,,,3.69,,3.96,,18.3,1991,
ATL,94,68,48,507,162,1452.2,6.00,2.98,0.73,.266,70.9%,,,,3.49,,3.63,,17.8,1991,
PIT,98,64,51,515,162,1456.2,5.68,2.48,0.72,.283,72.1%,,,,3.44,,3.53,,16.8,1991,
CIN,74,88,43,516,162,1440.0,6.23,3.50,0.79,.282,71.2%,,,,3.83,,3.84,,16.5,1991,
SDP,84,78,47,495,162,1452.2,5.71,2.83,0.86,.273,72.8%,,,,3.58,,3.80,,16.1,1991,
BOS,84,78,45,490,162,1439.2,6.25,3.31,0.92,.285,71.2%,,,,4.02,,3.96,,15.8,1991,
MIN,95,67,53,453,162,1449.1,5.44,3.03,0.86,.276,73.4%,,,,3.69,,3.96,,15.2,1991,
CHC,77,83,40,520,160,1456.2,5.73,3.35,0.72,.282,68.7%,,,,4.05,,3.80,,15.1,1991,
NYY,71,91,37,539,162,1444.0,5.83,3.15,0.95,.297,69.4%,,,,4.43,,4.07,,15.1,1991,
SEA,83,79,48,545,162,1464.1,6.16,3.86,0.84,.281,74.2%,,,,3.79,,4.08,,14.3,1991,
BAL,67,95,42,534,162,1457.2,5.36,3.11,0.91,.295,68.3%,,,,4.59,,4.07,,13.9,1991,
STL,84,78,51,531,162,1435.1,5.15,2.85,0.71,.275,71.4%,,,,3.69,,3.79,,13.8,1991,
MON,71,90,39,528,161,1440.1,5.68,3.65,0.69,.270,71.7%,,,,3.64,,3.88,,10.9,1991,
CHW,87,75,40,500,162,1478.0,5.62,3.66,0.94,.256,72.9%,,,,3.80,,4.24,,10.9,1991,
MIL,83,79,41,503,162,1463.2,5.28,3.24,0.90,.286,71.1%,,,,4.18,,4.16,,10.2,1991,
TEX,85,77,41,548,162,1479.0,6.22,4.03,0.92,.290,69.6%,,,,4.47,,4.24,,10.1,1991,
PHI,78,84,35,483,162,1463.0,6.08,4.12,0.68,.273,72.4%,,,,3.86,,3.95,,9.8,1991,
DET,84,78,38,488,162,1450.1,4.59,3.68,0.92,.294,70.4%,,,,4.54,,4.44,,9.5,1991,
SFG,75,87,45,496,162,1442.0,5.65,3.40,0.89,.278,72.0%,,,,4.03,,4.10,,6.9,1991,
HOU,65,97,36,527,162,1453.0,6.40,4.03,0.80,.276,70.9%,,,,4.00,,3.99,,5.6,1991,
OAK,84,78,49,559,162,1444.1,5.56,4.08,0.97,.280,70.9%,,,,4.57,,4.49,,5.2,1991,
CIN,90,72,55,519,162,1449.2,6.58,2.92,0.68,.286,73.3%,,,,3.46,,3.33,,20.9,1992,
BOS,73,89,39,490,162,1448.2,5.86,3.32,0.66,.285,71.6%,,,,3.63,,3.63,,20.4,1992,
MIN,90,72,50,485,162,1453.0,5.72,2.97,0.75,.281,72.2%,,,,3.72,,3.66,,19.8,1992,
ATL,98,64,41,500,162,1460.0,5.84,3.01,0.55,.273,74.0%,,,,3.14,,3.34,,18.8,1992,
TOR,96,66,49,446,162,1440.2,5.96,3.38,0.77,.275,71.1%,,,,3.92,,3.80,,18.6,1992,
TEX,77,85,42,521,162,1460.1,6.37,3.69,0.70,.300,69.6%,,,,4.10,,3.70,,18.3,1992,
SDP,82,80,46,525,162,1461.1,5.98,2.70,0.68,.290,72.5%,,,,3.58,,3.39,,18.1,1992,
NYM,72,90,34,495,162,1446.2,6.38,3.00,0.61,.292,71.1%,,,,3.68,,3.32,,17.5,1992,
BAL,89,73,48,451,162,1464.0,5.20,3.18,0.76,.277,73.2%,,,,3.79,,3.86,,17.4,1992,
CAL,72,90,42,459,162,1446.0,5.53,3.31,0.81,.289,73.4%,,,,3.84,,3.91,,16.9,1992,
MIL,92,70,39,500,162,1457.0,4.90,2.69,0.78,.262,74.1%,,,,3.43,,3.82,,16.2,1992,
LAD,63,99,29,515,162,1438.0,6.14,3.46,0.51,.290,72.1%,,,,3.41,,3.37,,15.8,1992,
MON,87,75,49,511,162,1467.2,6.22,3.22,0.56,.270,74.0%,,,,3.25,,3.39,,15.3,1992,
KCR,72,90,44,502,162,1447.1,5.19,3.18,0.66,.282,71.6%,,,,3.81,,3.73,,15.1,1992,
NYY,76,86,44,470,162,1452.2,5.27,3.79,0.80,.286,70.5%,,,,4.22,,4.10,,13.3,1992,
CHW,86,76,52,454,162,1461.2,4.99,3.39,0.76,.271,71.7%,,,,3.84,,4.01,,13.2,1992,
STL,83,79,47,584,162,1480.0,5.12,2.43,0.72,.271,73.8%,,,,3.38,,3.56,,13.0,1992,
PIT,96,66,43,516,162,1479.2,5.13,2.77,0.61,.277,74.1%,,,,3.35,,3.51,,12.1,1992,
CHC,78,84,37,534,162,1469.0,5.52,3.52,0.66,.269,73.7%,,,,3.39,,3.77,,11.9,1992,
OAK,96,66,58,562,162,1447.0,5.24,3.74,0.80,.276,73.5%,,,,3.73,,4.11,,10.1,1992,
CLE,76,86,46,541,162,1470.0,5.45,3.47,0.97,.288,72.2%,,,,4.11,,4.20,,9.7,1992,
SFG,72,90,30,548,162,1461.0,5.71,3.09,0.79,.277,73.2%,,,,3.61,,3.76,,9.5,1992,
SEA,64,98,30,534,162,1445.0,5.57,4.12,0.80,.291,69.2%,,,,4.55,,4.20,,9.3,1992,
HOU,81,81,45,584,162,1459.1,6.03,3.32,0.70,.280,71.8%,,,,3.74,,3.64,,8.0,1992,
PHI,70,92,34,485,162,1428.0,5.36,3.46,0.71,.279,69.0%,,,,4.13,,3.83,,7.5,1992,
DET,75,87,36,517,162,1435.2,4.34,3.54,0.97,.287,69.8%,,,,4.61,,4.46,,6.1,1992,
ATL,104,58,46,515,162,1455.0,6.41,2.97,0.62,.273,74.8%,,,,3.14,,3.50,,25.8,1993,
KCR,84,78,48,465,162,1445.1,6.13,3.56,0.65,.287,70.4%,,,,4.04,,3.85,,21.9,1993,
BOS,80,82,44,551,162,1452.1,6.18,3.42,0.79,.280,71.1%,,,,3.80,,3.99,,19.8,1993,
CHW,94,68,48,484,162,1454.0,6.03,3.50,0.77,.285,73.3%,,,,3.72,,4.02,,19.3,1993,
TOR,95,67,50,506,162,1441.1,6.39,3.87,0.84,.293,70.9%,,,,4.22,,4.13,,18.8,1993,
LAD,81,81,36,508,162,1472.2,6.37,3.47,0.63,.288,72.2%,,,,3.50,,3.71,,18.7,1993,
SEA,82,80,41,515,162,1453.2,6.71,3.75,0.84,.295,71.5%,,,,4.20,,4.09,,18.7,1993,
PHI,97,65,46,512,162,1473.0,6.82,3.50,0.79,.286,69.7%,,,,3.97,,3.85,,18.2,1993,
HOU,85,77,42,486,162,1441.1,6.59,2.97,0.73,.284,72.8%,,,,3.49,,3.65,,17.8,1993,
MIN,71,91,44,518,162,1444.1,5.61,3.20,0.92,.308,67.9%,,,,4.73,,4.23,,15.4,1993,
TEX,86,76,45,521,162,1438.1,5.99,3.52,0.90,.294,70.8%,,,,4.28,,4.22,,15.1,1993,
MON,94,68,61,548,163,1456.2,5.77,3.22,0.74,.274,70.9%,,,,3.55,,3.94,,15.1,1993,
NYM,59,103,22,459,162,1438.0,5.43,2.72,0.87,.288,69.0%,,,,4.05,,4.05,,14.1,1993,
BAL,85,77,42,491,162,1442.2,5.61,3.61,0.95,.282,71.0%,,,,4.32,,4.40,,14.1,1993,
CAL,71,91,41,482,162,1430.1,5.30,3.46,0.96,.289,70.3%,,,,4.36,,4.46,,13.9,1993,
CIN,73,89,37,537,162,1434.0,6.25,3.19,0.99,.300,69.4%,,,,4.51,,4.19,,13.5,1993,
CHC,84,78,56,585,163,1449.2,5.62,2.92,0.95,.295,71.1%,,,,4.18,,4.17,,13.3,1993,
SDP,61,101,32,559,162,1437.2,5.99,3.49,0.93,.289,69.5%,,,,4.23,,4.23,,12.3,1993,
SFG,103,59,50,576,162,1456.2,6.07,2.73,1.04,.274,75.6%,,,,3.63,,4.15,,12.2,1993,
MIL,69,93,29,515,162,1447.0,5.04,3.25,0.95,.286,69.2%,,,,4.47,,4.45,,12.0,1993,
NYY,88,74,38,494,162,1438.1,5.63,3.45,1.06,.285,71.1%,,,,4.37,,4.49,,11.9,1993,
FLA,64,98,48,571,162,1440.1,5.90,3.74,0.84,.286,71.5%,,,,4.15,,4.21,,11.7,1993,
STL,87,75,54,584,162,1453.0,4.80,2.37,0.94,.289,69.9%,,,,4.10,,4.16,,10.9,1993,
DET,85,77,36,537,162,1436.2,5.19,3.40,1.18,.289,69.4%,,,,4.70,,4.77,,8.9,1993,
PIT,75,87,34,546,162,1445.2,5.18,3.02,0.95,.297,68.4%,,,,4.77,,4.32,,8.8,1993,
CLE,76,86,45,572,162,1445.2,5.53,3.68,1.13,.301,71.6%,,,,4.58,,4.70,,7.0,1993,
OAK,68,94,42,586,162,1452.1,5.35,4.21,0.97,.296,69.6%,,,,4.90,,4.71,,6.8,1993,
COL,67,95,35,615,162,1431.1,5.74,3.83,1.14,.314,65.4%,,,,5.44,,4.72,,5.2,1993,
ATL,68,46,26,358,114,1026.1,7.59,3.31,0.67,.286,72.1%,,,,3.57,,3.58,,20.3,1994,
KCR,64,51,38,362,115,1031.2,6.25,3.42,0.83,.289,69.5%,,,,4.24,,4.17,,16.1,1994,
MON,74,40,46,373,114,1036.2,6.99,2.50,0.87,.281,72.8%,,,,3.57,,3.78,,15.9,1994,
SDP,47,70,27,390,117,1045.2,7.42,3.38,0.85,.291,69.5%,,,,4.08,,3.91,,15.4,1994,
CHW,67,46,20,352,113,1011.1,6.71,3.35,1.02,.279,71.8%,,,,3.96,,4.29,,14.8,1994,
CLE,66,47,21,335,113,1018.2,5.88,3.57,0.83,.306,69.5%,,,,4.39,,4.33,,14.5,1994,
CIN,66,48,27,376,115,1038.1,6.93,2.94,1.01,.294,73.7%,,,,3.78,,4.11,,13.3,1994,
NYY,70,43,31,354,113,1019.2,5.79,3.51,1.06,.288,71.8%,,,,4.34,,4.61,,12.2,1994,
TOR,55,60,26,336,115,1025.0,7.31,4.23,1.12,.302,71.1%,,,,4.70,,4.62,,12.1,1994,
BAL,63,49,37,346,112,997.2,6.01,3.17,1.18,.283,73.8%,,,,4.31,,4.64,,12.0,1994,
LAD,58,56,20,353,114,1014.0,6.50,3.14,0.80,.301,70.6%,,,,4.17,,3.99,,11.9,1994,
SEA,49,63,21,364,112,984.0,6.98,4.45,1.00,.311,67.2%,,,,5.01,,4.59,,11.9,1994,
BOS,54,61,30,423,115,1029.1,6.37,3.93,1.05,.305,68.0%,,,,4.95,,4.63,,11.0,1994,
PHI,54,61,30,358,115,1024.1,6.14,3.31,0.86,.287,72.2%,,,,3.86,,4.20,,10.6,1994,
HOU,66,49,29,383,115,1029.2,6.46,3.21,0.89,.297,72.3%,,,,3.97,,4.15,,9.3,1994,
NYM,55,58,35,351,113,1023.0,5.63,2.92,1.03,.291,71.2%,,,,4.15,,4.40,,9.2,1994,
