Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,yearID,teamID
SDP,2132,6119,109,686,629,152,7.7%,13.2%,.112,.284,.259,.317,.371,.308,,95,3.2,-32.5,70.1,24.9,1984,
TOR,1913,6286,143,750,702,193,7.3%,13.0%,.148,.296,.273,.331,.421,.335,,103,11.8,35.2,4.0,24.9,1984,
BOS,1716,6251,181,810,767,38,8.0%,13.5%,.158,.303,.283,.341,.441,.347,,111,-2.8,78.5,-42.7,24.8,1984,
BAL,1957,6187,160,681,647,51,10.0%,14.3%,.139,.273,.252,.328,.391,.324,,101,-4.1,4.5,37.6,24.7,1984,
MON,2183,6042,96,593,553,131,7.8%,12.9%,.111,.277,.251,.312,.362,.303,,91,10.8,-49.5,78.0,23.6,1984,
HOU,2128,6201,79,693,640,105,8.0%,13.5%,.107,.296,.264,.323,.371,.311,,99,-3.5,-12.4,15.8,21.9,1984,
NYY,1749,6356,130,758,725,62,8.4%,10.6%,.129,.291,.276,.339,.404,.333,,108,-3.1,58.7,-56.5,21.6,1984,
CHC,2175,6143,136,762,703,154,9.2%,15.7%,.136,.292,.260,.331,.397,.325,,97,4.4,-18.9,18.2,21.3,1984,
OAK,2029,6161,158,738,697,145,9.2%,14.1%,.145,.279,.259,.327,.404,.328,,107,3.4,52.3,-47.8,21.1,1984,
KCR,1836,6065,117,673,639,106,6.6%,13.7%,.131,.295,.268,.317,.399,.319,,97,-4.4,-29.2,41.8,21.1,1984,
MIN,1690,6107,114,673,636,39,7.2%,12.0%,.120,.285,.265,.318,.385,.314,,89,-4.5,-84.1,87.1,20.0,1984,
STL,2221,6091,75,652,610,220,8.5%,15.2%,.099,.289,.252,.317,.351,.302,,89,15.6,-61.0,51.5,19.9,1984,
NYM,2135,6066,107,652,607,149,8.2%,16.5%,.111,.295,.257,.320,.369,.308,,95,8.1,-26.5,10.8,19.4,1984,
PIT,2046,6119,98,615,586,96,7.2%,13.7%,.108,.283,.255,.310,.363,.302,,86,-5.6,-100.9,66.3,17.3,1984,
CLE,1833,6375,123,761,704,126,9.4%,12.8%,.119,.288,.265,.335,.384,.325,,99,-5.6,-12.9,-25.8,17.1,1984,
SFG,2273,6293,112,682,646,126,8.4%,15.6%,.109,.301,.265,.328,.375,.317,,101,-5.2,5.0,-70.2,15.5,1984,
CHW,2086,6156,172,679,640,109,8.5%,14.3%,.148,.264,.247,.314,.395,.318,,94,2.1,-40.9,-6.6,15.4,1984,
CAL,1779,6166,150,696,649,80,9.0%,15.1%,.132,.273,.249,.319,.381,.316,,96,-4.5,-36.4,-15.9,15.0,1984,
ATL,2079,6107,111,632,578,140,9.1%,14.7%,.115,.275,.247,.317,.361,.305,,84,-5.8,-113.2,38.5,13.1,1984,
LAD,2219,6042,102,580,530,109,8.1%,13.7%,.105,.269,.244,.306,.348,.295,,87,-5.8,-97.7,10.4,11.7,1984,
SEA,1829,6216,129,682,635,116,8.3%,14.0%,.126,.284,.258,.324,.384,.319,,94,-1.7,-44.2,-67.4,9.1,1984,
CIN,2249,6201,106,627,578,160,9.1%,15.8%,.112,.277,.244,.313,.356,.301,,84,6.8,-106.7,-18.6,8.4,1984,
TEX,1738,6100,120,656,618,81,6.9%,13.2%,.116,.284,.261,.313,.377,.309,,91,-3.9,-71.5,-43.6,8.2,1984,
MIL,1636,6057,96,641,598,52,7.1%,11.1%,.107,.282,.262,.317,.370,.309,,93,-12.5,-64.2,-53.4,7.9,1984,
STL,2121,6182,87,747,687,314,9.5%,13.8%,.114,.298,.264,.335,.379,.319,,102,22.6,37.0,93.0,34.3,1985,
NYY,1708,6236,176,839,793,155,9.9%,12.4%,.158,.280,.267,.344,.425,.341,,112,7.9,99.4,10.0,32.5,1985,
LAD,2209,6224,129,682,632,136,8.7%,13.6%,.122,.285,.261,.328,.382,.316,,102,2.1,17.3,52.2,28.3,1985,
TOR,1878,6107,158,759,714,144,8.2%,13.2%,.156,.289,.269,.331,.425,.334,,104,-3.7,23.0,44.6,27.5,1985,
BOS,1742,6420,162,800,760,66,8.8%,12.7%,.147,.303,.282,.347,.429,.344,,110,0.3,76.1,-25.8,27.1,1985,
BAL,1905,6212,214,818,773,69,9.7%,14.6%,.167,.279,.263,.336,.430,.340,,111,-5.3,76.8,-37.3,25.3,1985,
NYM,2073,6248,134,695,651,117,8.7%,14.0%,.128,.281,.257,.323,.385,.313,,99,0.4,-6.1,42.7,25.0,1985,
DET,1842,6223,202,729,703,75,8.5%,14.9%,.170,.269,.253,.318,.424,.326,,103,-3.1,21.0,13.7,24.6,1985,
HOU,2100,6192,121,706,666,96,7.7%,14.1%,.127,.288,.261,.319,.388,.313,,102,-5.0,7.8,8.5,22.8,1985,
CAL,1836,6263,153,732,685,106,10.3%,14.4%,.135,.274,.251,.333,.386,.322,,99,-1.1,-9.3,16.5,21.8,1985,
OAK,1796,6215,155,757,690,117,8.2%,13.9%,.137,.286,.264,.325,.401,.323,,104,-1.7,29.1,-28.1,21.3,1985,
CIN,2182,6145,114,677,634,159,9.4%,13.9%,.121,.282,.255,.327,.376,.313,,92,2.0,-51.7,51.2,20.7,1985,
SDP,2089,6150,109,650,611,60,8.3%,13.2%,.113,.280,.255,.320,.368,.306,,93,-5.4,-55.1,51.5,20.4,1985,
MIN,1804,6128,141,705,678,68,8.2%,12.7%,.143,.283,.264,.326,.407,.325,,97,-5.8,-30.7,19.7,19.5,1985,
MON,2217,6053,118,633,593,169,8.1%,14.5%,.128,.273,.247,.310,.375,.303,,92,1.4,-56.4,42.2,19.0,1985,
CHC,2243,6177,150,686,640,182,9.1%,15.2%,.136,.281,.254,.324,.390,.317,,92,15.0,-39.5,12.8,18.2,1985,
SEA,1734,6185,171,719,686,94,9.1%,15.2%,.157,.278,.255,.326,.412,.328,,100,3.0,4.3,-43.4,17.0,1985,
PHI,2210,6122,141,667,628,122,8.6%,17.9%,.138,.281,.245,.312,.383,.309,,91,2.3,-59.9,-6.1,14.0,1985,
KCR,1836,6095,154,687,657,128,7.8%,13.8%,.149,.271,.252,.313,.401,.315,,93,4.7,-47.0,-25.6,13.1,1985,
CHW,1986,6089,146,736,695,108,7.7%,13.8%,.139,.274,.253,.315,.392,.314,,89,-2.5,-81.3,-22.1,9.8,1985,
TEX,1737,6005,129,617,578,130,8.8%,13.6%,.127,.276,.253,.322,.381,.315,,91,-6.2,-68.3,-36.7,9.4,1985,
MIL,1622,6158,101,690,636,69,7.5%,12.1%,.115,.286,.263,.319,.379,.311,,92,-1.7,-62.7,-50.4,9.2,1985,
ATL,2256,6208,126,632,598,72,8.9%,13.7%,.117,.269,.246,.315,.363,.303,,83,-8.2,-126.8,9.8,8.9,1985,
PIT,2103,6099,80,568,535,110,8.4%,13.8%,.101,.276,.247,.311,.347,.294,,83,-3.7,-125.3,5.0,8.2,1985,
SFG,2181,6063,115,556,517,99,8.0%,15.9%,.115,.263,.233,.299,.348,.290,,84,-3.8,-116.4,-6.3,7.9,1985,
CLE,1802,6121,116,729,689,132,8.0%,13.3%,.120,.291,.265,.324,.385,.317,,93,-4.2,-58.7,-70.0,7.5,1985,
NYM,2086,6349,148,783,730,118,9.9%,15.2%,.138,.292,.263,.339,.401,.328,,108,3.9,64.0,52.6,33.3,1986,
DET,1729,6269,198,798,751,138,9.8%,14.1%,.161,.279,.263,.338,.424,.338,,110,3.8,76.1,35.5,32.8,1986,
NYY,1758,6325,188,797,745,139,10.2%,14.4%,.159,.293,.271,.347,.430,.344,,114,8.1,112.4,-26.0,30.6,1986,
CAL,1732,6297,167,786,743,109,10.7%,13.7%,.149,.273,.255,.338,.404,.331,,103,4.5,30.7,48.0,29.5,1986,
SFG,2251,6212,114,698,637,148,8.6%,17.5%,.122,.295,.253,.322,.375,.309,,95,-8.2,-42.2,97.7,26.3,1986,
HOU,2199,6095,125,654,613,163,8.8%,15.0%,.126,.284,.255,.322,.381,.311,,97,2.0,-18.3,68.8,25.5,1986,
OAK,1761,6127,163,731,683,139,9.0%,16.0%,.138,.278,.252,.322,.390,.318,,100,2.8,3.8,18.4,23.1,1986,
TOR,1866,6318,181,809,767,110,7.9%,13.4%,.157,.287,.269,.329,.427,.334,,104,-2.1,26.5,-15.1,22.8,1986,
BOS,1722,6255,144,794,752,41,9.5%,11.3%,.144,.286,.271,.346,.415,.338,,103,-5.9,20.2,-18.6,21.6,1986,
PHI,2119,6229,154,739,696,153,9.5%,18.5%,.147,.292,.253,.327,.400,.321,,97,6.5,-20.2,20.0,20.9,1986,
PIT,2260,6164,111,663,618,152,9.2%,15.1%,.123,.281,.250,.321,.374,.310,,91,-3.8,-65.3,66.5,20.6,1986,
CLE,1714,6288,157,831,775,141,7.3%,15.0%,.146,.315,.284,.337,.430,.339,,106,6.1,53.0,-64.4,20.5,1986,
TEX,1799,6148,184,771,725,103,8.3%,17.7%,.160,.301,.267,.331,.428,.336,,103,-14.0,11.4,-19.3,20.2,1986,
STL,2118,6122,58,601,550,262,9.3%,14.8%,.090,.272,.236,.309,.327,.286,,76,20.6,-151.7,141.0,19.0,1986,
MON,2219,6174,110,637,602,193,8.7%,16.5%,.124,.292,.254,.322,.379,.311,,94,0.0,-45.0,22.3,18.3,1986,
CIN,2195,6246,144,732,670,177,9.4%,14.7%,.133,.279,.254,.325,.387,.317,,92,13.7,-44.1,11.5,17.6,1986,
BAL,1806,6203,169,708,669,64,9.1%,13.9%,.137,.276,.258,.327,.395,.323,,99,-1.3,-11.0,-28.8,17.1,1986,
SDP,2356,6118,136,656,629,96,7.9%,15.0%,.126,.290,.261,.321,.388,.314,,96,-8.6,-36.8,1.3,16.9,1986,
MIN,1822,6151,196,741,700,81,8.1%,15.9%,.167,.284,.261,.325,.428,.333,,100,-8.7,-8.4,-45.8,15.5,1986,
LAD,2288,6101,130,638,599,155,7.8%,15.8%,.119,.282,.251,.313,.370,.304,,91,3.6,-60.4,-29.0,11.4,1986,
KCR,1809,6128,137,654,618,97,7.7%,15.0%,.138,.279,.252,.313,.390,.312,,89,0.5,-77.9,-15.0,11.3,1986,
CHW,1819,6030,121,644,605,115,8.1%,15.6%,.116,.276,.247,.310,.363,.302,,80,0.9,-143.1,46.4,10.4,1986,
CHC,2253,6127,155,680,638,132,8.3%,15.8%,.141,.283,.256,.318,.398,.316,,89,1.1,-78.4,-25.5,9.9,1986,
ATL,2160,6069,138,615,575,93,8.9%,14.9%,.131,.276,.250,.319,.381,.311,,85,-12.4,-114.8,-10.9,7.4,1986,
MIL,1616,6126,127,667,625,100,8.7%,16.1%,.130,.288,.255,.321,.385,.316,,91,-0.5,-64.7,-73.9,6.8,1986,
SEA,1653,6187,158,718,681,93,9.2%,18.6%,.145,.292,.253,.326,.399,.323,,94,-12.4,-56.0,-111.5,4.1,1986,
NYM,2141,6335,192,823,771,159,9.3%,16.0%,.166,.295,.268,.339,.434,.335,,108,8.4,69.6,24.6,30.8,1987,
DET,1913,6444,225,896,840,106,10.1%,14.2%,.179,.287,.272,.349,.451,.348,,113,-2.8,101.5,-13.2,30.4,1987,
TOR,1893,6295,215,845,790,126,8.8%,15.4%,.177,.290,.269,.336,.446,.339,,105,1.4,39.9,26.5,27.8,1987,
PIT,2191,6225,131,723,684,140,8.6%,14.7%,.138,.293,.264,.330,.403,.319,,92,0.8,-59.6,114.4,26.7,1987,
SFG,2285,6250,205,783,731,126,8.2%,17.5%,.170,.288,.260,.324,.430,.326,,101,-18.6,-7.4,56.4,26.1,1987,
CHW,1671,6164,173,748,706,138,7.9%,15.8%,.158,.282,.258,.319,.415,.319,,92,3.1,-56.5,78.7,23.0,1987,
STL,2156,6299,94,798,746,248,10.2%,14.8%,.115,.300,.263,.340,.378,.317,,92,16.2,-46.6,53.3,22.1,1987,
NYY,1777,6222,196,788,749,105,9.7%,15.3%,.156,.284,.262,.336,.418,.331,,100,0.1,3.4,3.0,21.6,1987,
BOS,1657,6359,174,842,802,77,9.5%,13.0%,.152,.297,.278,.352,.430,.342,,105,-6.6,32.4,-32.8,21.3,1987,
CIN,2241,6196,192,783,747,169,8.3%,15.0%,.161,.287,.266,.330,.427,.329,,95,11.8,-26.2,27.0,21.1,1987,
OAK,1786,6238,199,806,761,140,9.5%,16.9%,.168,.286,.260,.333,.428,.332,,105,-1.4,40.5,-42.8,20.7,1987,
SDP,2200,6177,113,668,621,198,9.3%,16.1%,.118,.298,.260,.332,.378,.312,,89,-1.8,-84.2,77.2,20.4,1987,
PHI,2289,6190,169,702,662,111,9.5%,17.9%,.157,.288,.254,.327,.410,.322,,91,-1.1,-72.8,57.9,19.6,1987,
CAL,1765,6301,172,770,709,125,9.4%,14.7%,.148,.274,.252,.326,.401,.319,,95,3.7,-39.1,19.4,19.3,1987,
MIL,1694,6370,163,862,832,176,9.4%,16.3%,.152,.311,.276,.346,.428,.338,,103,0.9,25.3,-61.3,17.8,1987,
SEA,1712,6145,161,760,717,174,8.1%,14.0%,.156,.295,.272,.335,.428,.333,,99,1.1,-9.0,-37.0,16.1,1987,
MON,2180,6162,120,741,695,166,8.1%,14.9%,.135,.297,.265,.328,.401,.317,,91,-0.8,-74.7,25.5,16.1,1987,
MIN,1805,6090,196,786,733,113,8.6%,14.7%,.168,.280,.261,.328,.430,.329,,95,-7.5,-44.1,-7.3,15.4,1987,
KCR,1730,6128,168,715,677,125,8.5%,16.9%,.150,.294,.262,.328,.412,.324,,95,4.2,-34.2,-27.8,14.5,1987,
TEX,1881,6248,194,823,772,120,9.1%,17.3%,.165,.296,.266,.333,.430,.333,,99,-8.8,-17.8,-49.7,14.3,1987,
BAL,1693,6185,211,729,701,69,8.5%,15.2%,.160,.275,.258,.322,.418,.323,,96,-7.8,-38.6,-30.6,14.0,1987,
ATL,2065,6227,152,747,696,135,10.3%,13.4%,.145,.279,.258,.339,.403,.324,,90,-4.5,-81.2,6.0,13.7,1987,
HOU,2212,6149,122,648,603,162,8.6%,15.2%,.120,.282,.253,.318,.373,.304,,85,10.4,-104.0,13.1,11.9,1987,
CHC,2249,6197,209,720,683,109,8.1%,17.2%,.168,.292,.264,.326,.432,.329,,92,-1.1,-63.0,-36.1,11.2,1987,
CLE,1703,6212,187,742,691,140,7.9%,15.7%,.158,.287,.263,.324,.422,.325,,95,2.6,-35.9,-68.1,10.6,1987,
LAD,2284,6114,125,635,594,128,7.3%,15.1%,.119,.280,.252,.309,.371,.297,,83,-1.9,-131.3,-3.1,7.5,1987,
BOS,1644,6334,124,813,760,65,9.8%,11.5%,.137,.304,.283,.357,.420,.348,,115,-6.0,103.9,-15.4,31.7,1988,
OAK,1870,6356,156,800,752,129,9.1%,14.6%,.136,.288,.263,.336,.399,.332,,113,0.0,92.2,-6.3,31.4,1988,
NYM,1963,6105,152,703,659,140,8.9%,13.8%,.140,.276,.256,.325,.396,.321,,111,4.0,78.2,7.6,29.9,1988,
TOR,1745,6194,158,763,706,107,8.4%,15.1%,.151,.295,.268,.332,.419,.335,,109,2.9,67.5,2.8,29.0,1988,
MIN,1812,6181,151,759,710,107,8.5%,13.5%,.147,.296,.274,.340,.421,.340,,108,-7.5,50.8,-5.6,26.4,1988,
PIT,2189,6091,110,651,619,119,9.1%,15.5%,.123,.278,.247,.317,.369,.308,,98,-3.6,-15.6,67.6,25.6,1988,
SFG,2188,6178,113,670,629,121,8.9%,16.6%,.120,.284,.248,.318,.368,.308,,100,-10.2,-7.9,53.4,25.3,1988,
CIN,2127,6063,122,641,588,207,7.9%,15.2%,.122,.273,.246,.309,.368,.303,,91,15.7,-45.4,93.4,24.9,1988,
MON,2224,6170,107,628,575,189,7.4%,17.1%,.121,.290,.251,.309,.373,.304,,93,-0.5,-46.5,77.6,23.5,1988,
DET,1797,6153,143,703,650,87,9.6%,13.7%,.128,.271,.250,.324,.378,.318,,100,-3.4,-1.7,13.7,22.5,1988,
SDP,2011,6032,94,594,566,123,8.2%,14.8%,.104,.278,.247,.310,.351,.297,,91,1.0,-56.0,69.4,21.2,1988,
NYY,1740,6297,148,772,713,146,9.3%,14.8%,.132,.290,.263,.333,.395,.327,,104,9.4,39.4,-54.5,20.7,1988,
LAD,2228,6045,99,628,587,131,7.2%,15.7%,.104,.281,.248,.305,.352,.294,,92,4.3,-50.0,50.2,20.0,1988,
KCR,1744,6086,121,704,671,137,8.0%,15.5%,.131,.291,.259,.321,.391,.319,,99,2.3,-7.5,-34.0,16.9,1988,
TEX,1780,6157,112,637,589,130,8.8%,16.6%,.117,.288,.252,.320,.368,.310,,92,-0.5,-54.4,8.6,16.3,1988,
CHC,2094,6203,113,660,612,120,6.5%,14.7%,.122,.291,.261,.310,.383,.309,,92,2.0,-54.4,10.4,16.1,1988,
MIL,1677,6066,113,682,632,159,7.2%,15.0%,.118,.288,.257,.314,.375,.308,,92,6.4,-52.4,4.9,15.9,1988,
CAL,1801,6215,124,714,659,86,7.5%,13.2%,.124,.284,.261,.321,.385,.317,,99,-7.3,-13.5,-46.9,15.4,1988,
HOU,2150,6127,96,617,575,198,7.7%,13.7%,.107,.270,.244,.306,.351,.295,,91,8.1,-50.6,2.0,15.4,1988,
STL,2143,6177,71,578,535,234,7.8%,13.4%,.088,.279,.249,.309,.337,.291,,84,17.7,-88.4,30.3,14.2,1988,
SEA,1658,6018,148,664,617,95,7.7%,13.1%,.141,.275,.257,.317,.398,.321,,97,-8.7,-30.1,-33.9,14.2,1988,
CHW,1705,6039,132,631,573,98,7.4%,15.0%,.127,.268,.244,.303,.370,.301,,87,-2.2,-92.5,-13.7,9.6,1988,
CLE,1661,6046,134,666,629,97,6.9%,14.3%,.126,.286,.261,.314,.387,.313,,94,-4.2,-48.6,-65.4,9.2,1988,
PHI,2127,6055,106,597,567,112,8.1%,16.2%,.116,.272,.239,.306,.355,.298,,88,-0.6,-83.1,-22.3,9.2,1988,
BAL,1706,5979,137,550,517,69,8.4%,14.5%,.121,.259,.238,.305,.359,.300,,88,-7.4,-89.0,-40.4,7.1,1988,
ATL,2119,6013,96,555,527,95,7.2%,14.1%,.105,.269,.242,.298,.348,.290,,79,-11.6,-145.5,-29.6,1.5,1988,
SFG,2315,6139,141,699,647,87,8.3%,17.4%,.140,.285,.250,.316,.390,.315,,105,-5.8,25.1,76.2,31.0,1989,
STL,2234,6141,73,632,587,155,8.3%,13.8%,.105,.292,.258,.321,.363,.309,,96,7.6,-22.9,115.5,29.7,1989,
NYM,2084,6131,147,683,633,158,8.2%,15.2%,.139,.270,.246,.311,.385,.312,,101,8.8,16.4,65.9,29.0,1989,
BOS,1702,6455,108,774,716,56,10.0%,11.7%,.125,.301,.277,.351,.403,.340,,109,-5.4,63.5,-19.8,27.4,1989,
OAK,1751,6110,127,712,659,157,9.2%,14.0%,.120,.286,.261,.331,.381,.323,,107,7.4,57.5,-1.4,27.4,1989,
NYY,1733,6096,130,698,657,137,8.2%,13.6%,.122,.295,.269,.331,.391,.326,,104,1.5,29.2,0.0,24.4,1989,
CAL,1599,6102,145,669,624,89,7.0%,16.6%,.129,.288,.256,.311,.386,.313,,97,-0.2,-18.9,30.0,22.2,1989,
TOR,1722,6216,142,731,685,144,8.4%,14.8%,.138,.286,.260,.323,.398,.325,,102,3.8,20.2,-18.7,21.9,1989,
BAL,1725,6173,129,708,659,118,9.6%,15.5%,.127,.282,.252,.326,.379,.319,,101,-0.3,6.9,-3.6,21.9,1989,
PIT,2211,6261,95,637,584,155,9.0%,14.6%,.118,.270,.241,.311,.359,.300,,92,2.0,-51.5,63.5,21.8,1989,
TEX,1841,6099,122,695,654,101,8.2%,16.2%,.132,.299,.263,.326,.394,.326,,102,-1.3,12.7,-21.5,20.5,1989,
CHC,2172,6141,124,702,653,136,7.7%,15.0%,.126,.291,.261,.319,.387,.316,,95,2.7,-30.3,29.9,20.4,1989,
MIN,1881,6207,117,740,691,111,7.7%,12.0%,.125,.298,.276,.334,.402,.331,,104,-1.0,26.0,-44.0,20.0,1989,
HOU,2210,6200,97,647,598,144,8.5%,13.9%,.106,.265,.239,.306,.345,.295,,90,2.4,-62.7,56.3,19.7,1989,
MON,2185,6207,100,632,587,159,9.2%,15.4%,.114,.280,.247,.319,.361,.307,,95,2.3,-33.2,4.1,17.7,1989,
SEA,1724,6134,134,694,653,81,8.0%,13.7%,.126,.279,.257,.320,.384,.318,,96,-7.6,-38.2,-13.7,15.9,1989,
CHW,1685,6132,94,693,661,97,7.6%,14.2%,.112,.305,.271,.328,.383,.320,,100,-3.3,-6.4,-49.5,15.7,1989,
KCR,1876,6151,101,690,653,154,9.0%,14.6%,.112,.293,.261,.329,.373,.318,,98,8.3,-3.7,-56.4,15.4,1989,
SDP,2047,6120,120,642,598,136,9.0%,16.6%,.118,.286,.251,.319,.369,.309,,97,-1.2,-19.9,-40.1,14.4,1989,
LAD,2109,6124,89,554,513,81,8.3%,14.5%,.099,.270,.240,.306,.339,.292,,87,-7.1,-93.8,36.1,14.0,1989,
MIL,1667,6085,126,707,660,165,7.5%,13.0%,.124,.280,.259,.318,.382,.316,,97,6.5,-17.7,-56.4,13.7,1989,
CIN,2248,6158,128,632,588,128,8.0%,16.7%,.124,.280,.247,.309,.370,.306,,90,-4.2,-71.9,-15.8,11.3,1989,
DET,1782,6133,116,617,564,103,9.5%,14.7%,.109,.269,.242,.318,.351,.307,,92,-1.4,-59.4,-48.0,10.1,1989,
PHI,2240,6128,123,629,594,106,9.1%,15.1%,.120,.270,.243,.314,.364,.306,,92,-0.7,-52.0,-48.8,10.1,1989,
CLE,1720,6111,127,604,567,74,8.2%,15.3%,.120,.273,.245,.310,.365,.305,,89,-7.4,-85.8,-22.5,9.7,1989,
ATL,2165,6079,128,584,544,83,8.0%,16.4%,.115,.263,.234,.298,.350,.293,,78,-6.6,-150.7,46.6,8.8,1989,
OAK,1891,6240,164,733,693,141,10.4%,15.9%,.137,.281,.254,.336,.391,.329,,109,4.3,70.6,85.0,36.4,1990,
PIT,2217,6161,138,733,693,137,9.4%,14.8%,.146,.286,.259,.330,.405,.328,,104,4.6,32.9,55.8,31.7,1990,
TOR,1679,6223,167,767,729,111,8.5%,15.6%,.155,.291,.265,.328,.419,.333,,107,-0.7,49.5,8.4,26.5,1990,
NYM,2107,6182,172,775,734,110,8.7%,13.8%,.152,.273,.256,.323,.408,.325,,103,6.7,30.0,4.9,26.4,1990,
SFG,2269,6216,152,719,681,109,7.9%,15.7%,.134,.291,.262,.323,.396,.321,,100,-2.7,-3.3,8.8,23.4,1990,
DET,1816,6224,172,750,714,82,10.2%,15.3%,.150,.283,.259,.337,.409,.335,,109,-8.6,55.7,-37.9,22.5,1990,
LAD,2250,6179,129,728,669,141,8.7%,15.4%,.121,.293,.262,.328,.382,.318,,97,0.1,-19.2,18.3,22.5,1990,
PHI,2211,6245,103,646,619,108,9.3%,14.7%,.108,.287,.255,.327,.363,.310,,89,5.3,-76.0,64.2,21.3,1990,
BAL,1735,6223,132,669,623,94,10.6%,15.5%,.125,.275,.245,.330,.370,.317,,99,-3.8,-10.3,18.0,21.1,1990,
SEA,1824,6207,107,640,610,105,9.6%,12.1%,.114,.281,.259,.333,.373,.320,,97,-1.7,-26.5,31.2,20.7,1990,
STL,2201,6127,73,599,554,221,8.4%,13.8%,.102,.288,.256,.320,.358,.306,,86,12.6,-88.0,72.6,20.4,1990,
CIN,2145,6163,125,693,644,166,7.6%,14.8%,.134,.296,.265,.325,.399,.322,,94,4.9,-37.7,16.9,20.3,1990,
TEX,2033,6177,110,676,641,115,9.3%,17.1%,.117,.300,.259,.331,.376,.319,,98,1.5,-9.3,-1.8,19.1,1990,
CHW,1768,6038,106,682,637,140,7.9%,15.0%,.122,.290,.258,.320,.379,.314,,94,-9.8,-49.7,45.3,19.1,1990,
CLE,1684,6087,110,732,675,107,7.5%,13.7%,.124,.295,.267,.324,.391,.320,,97,-1.5,-19.0,-0.3,17.9,1990,
MON,2254,6189,114,662,607,235,9.3%,16.5%,.120,.286,.250,.322,.370,.311,,90,5.6,-65.7,16.9,17.5,1990,
CAL,1689,6267,147,690,646,69,9.0%,16.0%,.131,.291,.260,.329,.391,.324,,104,-5.7,19.4,-63.1,16.3,1990,
BOS,1694,6234,106,699,660,53,9.6%,12.8%,.123,.300,.272,.344,.395,.332,,102,-12.5,2.7,-55.0,15.2,1990,
SDP,2126,6218,123,673,628,138,8.2%,14.5%,.123,.285,.257,.320,.380,.313,,91,2.0,-65.0,-11.4,14.8,1990,
MIL,1732,6185,128,732,680,164,8.4%,13.3%,.128,.277,.256,.320,.384,.315,,97,2.0,-16.2,-45.9,14.0,1990,
KCR,1754,6099,100,707,660,107,8.2%,14.4%,.128,.299,.267,.328,.395,.325,,102,-5.4,10.3,-75.9,13.5,1990,
MIN,1804,6086,100,666,625,96,7.3%,12.3%,.120,.289,.265,.324,.385,.319,,94,-4.1,-47.7,-25.0,12.4,1990,
ATL,2130,6084,162,682,636,92,7.8%,16.6%,.146,.278,.250,.311,.396,.317,,89,-5.5,-82.4,-24.0,11.2,1990,
HOU,2279,6076,94,573,536,179,9.0%,16.4%,.103,.279,.242,.313,.345,.298,,85,0.8,-104.8,-7.0,10.5,1990,
NYY,1821,6037,147,603,561,119,7.1%,17.0%,.125,.270,.241,.300,.366,.300,,85,3.8,-101.5,11.2,10.1,1990,
CHC,2232,6149,136,690,649,151,6.6%,14.1%,.129,.288,.263,.314,.392,.314,,87,8.2,-86.2,-38.7,9.6,1990,
PIT,2219,6269,126,768,725,124,9.9%,14.4%,.135,.291,.263,.338,.398,.330,,109,6.4,70.1,23.1,31.0,1991,
DET,1792,6359,209,817,778,109,11.0%,18.6%,.169,.277,.247,.333,.416,.336,,106,3.0,50.3,31.9,29.6,1991,
CHW,1874,6360,139,758,722,134,9.6%,14.1%,.129,.288,.262,.336,.391,.328,,104,-2.6,28.4,44.2,28.6,1991,
MIN,1903,6218,140,776,733,107,8.5%,12.0%,.139,.300,.280,.344,.420,.342,,107,-5.7,46.1,18.4,27.4,1991,
TEX,1981,6441,177,829,774,102,9.3%,16.1%,.154,.301,.270,.341,.424,.342,,112,0.4,93.5,-62.2,25.1,1991,
OAK,1810,6192,159,760,716,151,10.4%,15.8%,.141,.274,.248,.331,.389,.324,,104,4.7,33.7,-0.6,24.1,1991,
CIN,2195,6134,164,689,654,124,8.0%,16.4%,.145,.287,.258,.320,.403,.322,,100,2.5,-0.8,26.2,23.4,1991,
BAL,1854,6257,170,686,660,50,8.4%,15.6%,.147,.278,.254,.319,.401,.323,,101,-3.2,0.7,14.6,22.3,1991,
SFG,2283,6098,141,649,605,95,7.7%,16.0%,.134,.275,.246,.309,.381,.308,,96,-3.7,-31.6,47.6,22.1,1991,
BOS,1731,6259,126,731,691,59,9.5%,13.1%,.133,.293,.269,.340,.401,.333,,100,-3.8,-1.0,13.6,22.1,1991,
STL,2150,6020,68,651,599,202,8.8%,14.2%,.102,.289,.255,.322,.357,.307,,92,-3.2,-55.1,58.4,20.5,1991,
SDP,2171,6057,121,636,591,101,8.3%,17.6%,.118,.282,.244,.310,.362,.302,,87,-5.3,-96.3,99.7,20.4,1991,
TOR,1753,6167,133,684,649,148,8.1%,16.9%,.143,.292,.257,.322,.400,.322,,98,8.5,-9.7,3.0,19.8,1991,
LAD,2229,6159,108,665,605,126,9.5%,15.5%,.106,.287,.253,.326,.359,.310,,97,-1.9,-23.0,9.4,19.5,1991,
MIL,1638,6311,116,799,750,106,8.8%,12.7%,.125,.296,.271,.336,.396,.328,,104,-5.9,25.6,-49.4,18.8,1991,
CHC,2291,6130,159,695,654,123,7.2%,14.3%,.138,.272,.253,.309,.390,.313,,90,-0.9,-68.1,38.5,17.5,1991,
MON,2200,6035,95,579,536,221,8.0%,17.5%,.112,.287,.246,.308,.357,.300,,88,4.5,-79.5,43.9,16.5,1991,
